SYS_CAT_NEW,ISO_CODE,area_geo
Area under community-based natural resources management,BRA,149385.76423538802
Area under community-based natural resources management,COL,30.31609703655862
Area under community-based natural resources management,ECU,710.2265523709469
Area under payment for ecosystem services program,BOL,696.5800478897769
Area under payment for ecosystem services program,BRA,10558.098425590437
Area under payment for ecosystem services program,GUY,76016.28606780707
Area under payment for ecosystem services program,PER,25107.234260982706
Buffer zone,GUF,13595.151750609792
Buffer zone,PER,117151.06750773222
Conservation agreement,BOL,873.4824229738192
Conservation agreement,ECU,11649.879650382005
Conservation concession,GUY,830.9655352914588
Conservation concession,PER,10854.974521763676
Eco-certified production area,BOL,2831.280536682571
Eco-certified production area,GUF,23713.796191443063
IPLC-led conservation area,BRA,251748.29099104556
IPLC-led conservation area,GUY,6743.9139508626595
Indigenous territory,BOL,85888.33674892278
Indigenous territory,BRA,1063390.1561930892
Indigenous territory,COL,261842.0694180308
Indigenous territory,ECU,76371.88974841862
Indigenous territory,GUF,6952.109411151938
Indigenous territory,GUY,32232.9751793131
Indigenous territory,PER,212227.68644126263
Indigenous territory,VEN,11846.679064619537
Military training ground,BRA,35171.80920923629
Other,BRA,1956581.4865507765
Other,COL,49674.26573294897
Other,ECU,15566.869308697038
Other,GUF,4893.397654272367
Other,PER,8728.73601255398
Other,VEN,12337.19241490885
Private recreational area,PER,1041.9379001958757
Privately protected area,BOL,3529.606364842123
Privately protected area,BRA,486.61856769707566
Privately protected area,COL,0.38397166266466176
Privately protected area,PER,1264.8288595913843
State-designated protected area,BOL,134571.6412493161
State-designated protected area,BRA,903845.5217776542
State-designated protected area,COL,96563.91676415173
State-designated protected area,ECU,31953.24160379269
State-designated protected area,GUF,30366.69217222709
State-designated protected area,GUY,11616.617436855771
State-designated protected area,PER,191750.92461127762
State-designated protected area,SUR,23932.981602646865
State-designated protected area,VEN,219114.35777964204
State-designated recreational area,COL,0.7633584677675092
State-required sustainable forest production area,BOL,306620.82854772
State-required sustainable forest production area,COL,8873.75176223636
State-required sustainable forest production area,ECU,111.56676079987335
State-required sustainable forest production area,PER,175243.84476387512
State-required sustainable forest production area,VEN,113696.19737931393
